filename,title,publication_year,predicted_reliability,population.cancer_type,population.disease_stage,population.patient_age_range,population.sex_distribution,population.comorbidities_summary,population.prior_treatments_summary,design.study_type,design.sample_size,design.intervention,design.comparator,design.primary_endpoint,design.secondary_endpoints,design.followup_duration,results.primary_result_text,results.primary_result_numeric,results.safety_profile_summary,results.limitations_summary,label,is_rct,is_meta,is_observ,large_study,medium_study,small_study,has_control,followup_months,primary_is_survival,primary_is_response,reported_safety,reported_limitations,years_since_2015,population.sex_distribution_missing,population.comorbidities_summary_missing,design.followup_duration_missing,combined_text,hazard_ratio,p_value,p_value_exact,median_pfs_months,median_os_months,survival_percent_improvement,response_rate_percent,followup_extracted_months
1-s2.0-S1462388923001588-main.pdf,A systematic review and meta-analysis of randomized controlled trials on the effectiveness of immersive virtual reality in cancer patients receiving chemotherapy,2023,Medium,"Mixed cancer types, including breast, ovarian, lung, colon, other solid types, and acute leukemia in adults; unspecified cancer types in pediatric patients.","Stage I to III breast or ovarian cancer, stage 0 to IV solid cancer, newly diagnosed acute leukemia.","Adults (mean age range 42.69–59.03 years, generally 18–84 years) and pediatric patients (mean age range 10.2–15.28 years, generally 6–19 years).","Predominantly women in adult cohorts (especially breast and ovarian cancer patients), with pediatric cohorts having an almost equal sex distribution.",,All patients were actively receiving or scheduled to receive chemotherapy.,Meta-Analysis,864,"Immersive virtual reality (IVR) using various head-mounted display devices (e.g., Vuzix Wrap 1200 VR, Oculus Go, VIVE VR Headset, Samsung Gear VR, Google Cardboard). Virtual environments included relaxing natural landscapes (sea, parks, forests, beaches, waterfalls, mountains), art museums, concerts, yoga sessions, deep-sea diving, virtual gorilla programs, VR games, and cartoon movies. Durations ranged from 5 to 90 minutes per session.","Standard care, chemotherapy usual care, or listening to relaxing music.","Psychological aspects: anxiety, depression, and distress.","['Physical aspects: fatigue and pain', 'Objective measurements: systolic blood pressure and heart rate']","Outcomes were assessed immediately after intervention and up to 48 hours post-intervention, with some interventions lasting multiple sessions over days or months.","Immersive virtual reality (IVR) significantly reduced anxiety and depression in adult cancer patients immediately after intervention. However, no significant effect was found on distress in adults or on anxiety 48 hours post-intervention. In pediatric patients, IVR significantly lowered pain and anxiety.","For adults: Anxiety (pooled SMD = -1.73, 95% CI = -2.59 to -0.86, P < 0.0001); Depression (pooled SMD = -2.21, 95% CI = -3.97 to -0.45, P = 0.01); Distress (pooled SMD = -0.63, 95% CI = -1.77 to 0.52, P = 0.28). For pediatric patients (from abstract): Pain (SMD = -1.17, 95% CI = -1.84 to -0.50); Anxiety (SMD = -1.18, 95% CI = -1.77 to -0.59).",,"High heterogeneity was observed among included trials, particularly for anxiety and depression outcomes. Performance bias (blinding) was difficult to apply due to the nature of the IVR intervention. One trial used a measurement instrument with poor validity, leading to a high risk of bias. More robust randomized controlled trials are needed for further IVR research.",1,0,1,0,1,0,0,1,48.0,0,0,0,1,8,0,1,0,"Immersive virtual reality (IVR) significantly reduced anxiety and depression in adult cancer patients immediately after intervention. However, no significant effect was found on distress in adults or on anxiety 48 hours post-intervention. In pediatric patients, IVR significantly lowered pain and anxiety.  High heterogeneity was observed among included trials, particularly for anxiety and depression outcomes. Performance bias (blinding) was difficult to apply due to the nature of the IVR intervention. One trial used a measurement instrument with poor validity, leading to a high risk of bias. More robust randomized controlled trials are needed for further IVR research.",,,,,,,,
a_retrospective_cohort_study_on_the_cardiotoxicity.10.pdf,A retrospective cohort study on the cardiotoxicity incidence rates of immune checkpoint inhibitors for oncology patients,2023,Medium,"Oncology patients diagnosed with various cancers including lung cancer, liver cancer, gastrointestinal cancers, renal cancer, head and neck cancers, urothelial carcinoma, and unresectable or metastatic melanomas.",,"Over 20 years old, with mean ages ranging from 61.2 to 64.0 years across groups.",38.8% male (158 patients) and 61.2% female (249 patients).,"Hypertension, cardiovascular diseases, chronic kidney diseases, diabetes mellitus, and hyperlipidemia were considered.",,Retrospective,407,"Patients received immune checkpoint inhibitor (ICI) therapy, ICI combined with chemotherapy, or ICI combined with targeted therapy. ICI agents included pembrolizumab, nivolumab, atezolizumab, and ipilimumab.",ICI therapy alone (reference group).,Incidence rates of cardiotoxicity among cancer patients.,"['Adjusted relative risk (aRR) for cardiotoxicity', 'Adjusted hazard ratio (aHR) for cardiotoxicity', 'Analysis of demographic, comorbidity, physical status, personal behavior, and medical care factors influencing cardiotoxicity.']",Average follow-up of 1.2 ± 1.4 years (median: 0.7 years; range: 0–6.1 years).,"The total incidence rate of cardiotoxicity was 3.6 per 100 person-years. Compared to ICI therapy alone, the cardiotoxicity risk was not significantly higher in the ICI combined with chemotherapy group (adjusted hazard ratio 2.1, 95% CI 0.2–21.1, p = 0.528) or the ICI combined with targeted therapy group (adjusted hazard ratio 1.2, 95% CI 0.1–9.2, p = 0.883).","Total cardiotoxicity incidence rate: 3.6 per 100 person-years. For ICI combined with chemotherapy, aHR = 2.1 (95% CI 0.2–21.1, p = 0.528). For ICI combined with targeted therapy, aHR = 1.2 (95% CI 0.1–9.2, p = 0.883).","The incidence rate of ICI-related cardiotoxicity was low. 18 subjects (4.4%) developed cardiotoxicity, defined as myocarditis, pericarditis, arrhythmia, heart failure, and Takotsubo syndrome. Heart failure and arrhythmia were more common than myocarditis in this cohort.","The study excluded patients treated with triple therapy due to a small sample size. It was a single hospital-based retrospective cohort study, which may limit generalizability. Assessment of concurrent medications was limited to NSAIDs and corticosteroids. Myocarditis detection can be challenging due to delayed onset of symptoms.",1,0,0,1,0,1,0,1,12.0,0,0,1,1,8,0,0,0,"The total incidence rate of cardiotoxicity was 3.6 per 100 person-years. Compared to ICI therapy alone, the cardiotoxicity risk was not significantly higher in the ICI combined with chemotherapy group (adjusted hazard ratio 2.1, 95% CI 0.2–21.1, p = 0.528) or the ICI combined with targeted therapy group (adjusted hazard ratio 1.2, 95% CI 0.1–9.2, p = 0.883). The incidence rate of ICI-related cardiotoxicity was low. 18 subjects (4.4%) developed cardiotoxicity, defined as myocarditis, pericarditis, arrhythmia, heart failure, and Takotsubo syndrome. Heart failure and arrhythmia were more common than myocarditis in this cohort. The study excluded patients treated with triple therapy due to a small sample size. It was a single hospital-based retrospective cohort study, which may limit generalizability. Assessment of concurrent medications was limited to NSAIDs and corticosteroids. Myocarditis detection can be challenging due to delayed onset of symptoms.",,528.0,0.528,,,,,
3433.pdf,"Overall Survival with Palbociclib and Fulvestrant in Women with HRþ/HER2/C0ABC: Updated Exploratory Analyses of PALOMA-3, a Double-blind, Phase III Randomized Study",2022,High,Hormone receptor-positive/human epidermal growth factor receptor 2-negative (HR+/HER2-) advanced breast cancer (ABC),"Advanced breast cancer, with disease progression on prior endocrine therapy",,Women (premenopausal or postmenopausal),"Patients with active, uncontrolled, or symptomatic brain metastases or symptomatic visceral spread, or at risk for life-threatening complications were excluded.",Disease had progressed on endocrine therapy. Up to one prior line of chemotherapy for advanced breast cancer was allowed.,RCT,521,Palbociclib (125 mg orally/day; 3/1 week schedule) and fulvestrant (500 mg intramuscularly),Placebo and fulvestrant,Investigator-assessed Progression-Free Survival (PFS),"['Overall Survival (OS)', 'Prognostic value of molecular analysis by circulating tumor DNA (ctDNA)']",73.3 months,"The updated exploratory analysis of overall survival showed a clinically meaningful improvement in OS with palbociclib plus fulvestrant compared to placebo plus fulvestrant. This benefit was maintained with over 6 years of follow-up and was particularly evident in patients with no prior chemotherapy for advanced or metastatic disease, and generally observed across most subgroups regardless of ESR1, PIK3CA, or TP53 mutation status.","Median OS was 34.8 months (95% CI, 28.8–39.9) in the palbociclib group and 28.0 months (95% CI, 23.5–33.8) in the placebo group (stratified hazard ratio, 0.81; 95% CI, 0.65–0.99). The 6-year OS rate was 19.1% (95% CI, 14.9–23.7) in the palbociclib group and 12.9% (95% CI, 8.0–19.1) in the placebo group.","No new safety signals were identified. Neutropenia was the most frequently reported adverse event in the palbociclib plus fulvestrant group (any grade, 84.3%; grade 3, 57.7%; grade 4, 11.9%). Other frequent adverse events included leukopenia (60.3%), infections (55.1%), fatigue (43.8%), nausea (36.2%), and anemia (32.2%). Febrile neutropenia was reported in 1.2% of patients in the palbociclib group.",The study is an exploratory analysis and is limited by the small number of patients included in some of the analyzed subgroups.,2,1,0,0,1,0,0,1,73.0,1,0,1,1,7,0,0,0,"The updated exploratory analysis of overall survival showed a clinically meaningful improvement in OS with palbociclib plus fulvestrant compared to placebo plus fulvestrant. This benefit was maintained with over 6 years of follow-up and was particularly evident in patients with no prior chemotherapy for advanced or metastatic disease, and generally observed across most subgroups regardless of ESR1, PIK3CA, or TP53 mutation status. No new safety signals were identified. Neutropenia was the most frequently reported adverse event in the palbociclib plus fulvestrant group (any grade, 84.3%; grade 3, 57.7%; grade 4, 11.9%). Other frequent adverse events included leukopenia (60.3%), infections (55.1%), fatigue (43.8%), nausea (36.2%), and anemia (32.2%). Febrile neutropenia was reported in 1.2% of patients in the palbociclib group. The study is an exploratory analysis and is limited by the small number of patients included in some of the analyzed subgroups.",,,,,,,,
robertson-et-al-2025-fulvestrant-versus-anastrozole-in-endocrine-therapy-naïve-women-with.pdf,Fulvestrant Versus Anastrozole in Endocrine Therapy –Na¨ıve Women With Hormone Receptor –Positive Advanced Breast Cancer: Final Overall Survival in the Phase III FALCON Trial,2025,High,Hormone receptor –positive/human epidermal growth factor receptor 2 –negative advanced breast cancer,"Advanced breast cancer (88% metastatic, 12% locally advanced in fulvestrant arm; 86% metastatic, 14% locally advanced in anastrozole arm)","36-90 years (median 64 years for fulvestrant, 62 years for anastrozole)",Postmenopausal women,,Endocrine therapy –na¨ıve. Some patients had prior chemotherapy (16-19%) or radiotherapy (22-23%) for earlier stages.,RCT,462,Fulvestrant 500 mg,Anastrozole 1 mg,Overall Survival (OS) (final prespecified analysis reported in this paper; original primary endpoint was Progression-Free Survival (PFS)),"['Progression-free survival (PFS)', 'Serious adverse events (SAEs)', 'Health-related quality of life (HRQOL)']","Median follow-up of 37.1 months for OS analysis. The final OS analysis was triggered at ≥65% maturity and ≥8 years since the last patient was enrolled (data cutoff July 11, 2022).",The final overall survival (OS) analysis of FALCON demonstrated no significant difference between fulvestrant and anastrozole.,"Median OS: Fulvestrant 44.8 months vs. Anastrozole 42.7 months. Hazard Ratio (HR): 0.97 (95% CI, 0.77 to 1.21); P=0.7579.",The safety profile of fulvestrant remained consistent with earlier observations; no new safety signals were identified. Most serious adverse events (SAEs) were considered unrelated to study treatment. SAEs occurred in 17.1% of fulvestrant patients and 15.5% of anastrozole patients.,"The study was not powered to demonstrate a significant OS difference. Data collection after the primary analysis was reduced, limited to survival, HRQOL, subsequent therapies, and SAEs. PFS to subsequent anticancer therapy was not a prespecified endpoint, and data on subsequent therapies were collected from approximately half of the patients.",2,1,0,0,0,1,0,1,444.0,1,0,1,1,10,0,1,0,"The final overall survival (OS) analysis of FALCON demonstrated no significant difference between fulvestrant and anastrozole. The safety profile of fulvestrant remained consistent with earlier observations; no new safety signals were identified. Most serious adverse events (SAEs) were considered unrelated to study treatment. SAEs occurred in 17.1% of fulvestrant patients and 15.5% of anastrozole patients. The study was not powered to demonstrate a significant OS difference. Data collection after the primary analysis was reduced, limited to survival, HRQOL, subsequent therapies, and SAEs. PFS to subsequent anticancer therapy was not a prespecified endpoint, and data on subsequent therapies were collected from approximately half of the patients.",,,,,,,,
blinder-et-al-2023-financial-toxicity-monitoring-in-a-randomized-controlled-trial-of-pati.pdf,Financial Toxicity Monitoring in a Randomized Controlled Trial of Patient-Reported Outcomes During Cancer Treatment (Alliance AFT-39),2023,High,"Metastatic cancer (various types including Thoracic, Breast, Colorectal, Prostate, Gynecologic, Myeloma, Lymphoma, Melanoma, Genitourinary nonprostate, Gastroesophageal, Pancreas, Hepatobiliary); excluded indolent lymphoma, acute leukemia, and those receiving hormonal monotherapy.",Metastatic cancer,"28-93 years (median 63 years, mean 62.20 years)","58.3% female, 41.7% male",,"Patients were undergoing systemic treatment (chemotherapy, targeted oral therapy, or immunotherapy). Current line of systemic treatment varied: First line (37.4%), Second line (30.8%), etc.",RCT,1191,"Digital symptom monitoring with PROs (online or automated telephone surveys) weekly for up to 1 year, including monthly single-item FT screening (FACIT-COST, 'My illness has been a financial hardship to my family and me') with automated alerts to nurses for concerning scores (>2 on a 0-4 scale).",Usual care,"Development or worsening of financial difficulties, assessed via the EORTC QLQ-C30 financial difficulties measure (dichotomized as developed/worsened vs. improved/unchanged) at any time compared with baseline.","['Patient and nurse interviews about experiences with the intervention', 'Overall survival (primary outcome of the parent PRO-TECT trial, to be reported later)', 'Physical function', 'Symptom control', 'Health-related quality of life (HRQoL)']","Up to 1 year (monthly for FT screening, and EORTC QLQ-C30 administered at enrollment and 1, 3, 6, 9, and 12 months)","Financial toxicity (FT) screening as part of routine digital patient monitoring with patient-reported outcomes (PROs) significantly reduced the development, or worsening, of financial difficulties among patients undergoing systemic cancer therapy.","30.2% of participants at PRO practices developed worsened financial difficulties, compared with 39.0% at control practices (P=0.004). This represents an 8.8% absolute difference, corresponding to a number needed to screen of 11.4.",,"Study accrual was discontinued early due to the COVID-19 pandemic. FT screening was added to the intervention in March 2019, 18 months after study enrollment began, meaning 302 participants completed participation before FT screening was included. The findings for worsening financial difficulties are considered a secondary outcome of the broader trial and exploratory.",2,1,0,0,1,0,0,1,12.0,0,0,0,1,8,0,1,0,"Financial toxicity (FT) screening as part of routine digital patient monitoring with patient-reported outcomes (PROs) significantly reduced the development, or worsening, of financial difficulties among patients undergoing systemic cancer therapy.  Study accrual was discontinued early due to the COVID-19 pandemic. FT screening was added to the intervention in March 2019, 18 months after study enrollment began, meaning 302 participants completed participation before FT screening was included. The findings for worsening financial difficulties are considered a secondary outcome of the broader trial and exploratory.",,,,,,,,18.0
glazer-et-al-2016-systematic-review-and-case-series-report-of-acinar-cell-carcinoma-of-the-pancreas.pdf,Systematic Review and Case Series Report of Acinar Cell Carcinoma of the Pancreas,2016,Low,Acinar cell carcinoma of the pancreas,"Case series: Stages II (33%), III (24%), and IV (43%); no patients with Stage I. Systematic review: 52% of patients had Stage I/II disease.",Mean 63.5 years (SD 14.1 years) for case series; median 61 years for systematic review,"Case series: 76% male, 24% female. Systematic review: 66% male.",,"Not explicitly detailed, but 62% of case series patients were initially diagnosed elsewhere.",Case Series,21,"For the case series (N=21), patients received various treatments including surgical resection (Whipple, distal/total pancreatectomy), neoadjuvant/adjuvant chemotherapy (gemcitabine-based, fluoropyrimidine-based like FOLFOX/FOLFIRI), and radiotherapy (SBRT). The systematic review (N=68 patients from 6 articles) assessed typical therapeutic management approaches (chemotherapy and radiotherapy).","Within the case series, comparisons were made between groups receiving surgery vs. no surgery, radiotherapy vs. no radiotherapy, and chemotherapy vs. no chemotherapy. The systematic review compared different therapeutic approaches across studies.",Overall survival and disease control rates.,"['Median survival rates', '1- and 5-year survival rates', 'Association of treatments (surgery, RT, chemotherapy) with survival rates']","Median 1.2 years (range, 1 month to 6.5 years) for the case series.","In the case series, median survival was 40.2 ± 31.9 months for patients undergoing surgery with adjuvant therapy and 13.8 ± 11.3 months for those with metastatic disease. Surgery (P < .001) and radiotherapy (P = .008) were significantly associated with improved survival, while chemotherapy was not (P = .09). Patients receiving resection followed by adjuvant radiotherapy had the longest survival. The systematic review found median survival rates of 47 months for resection with adjuvant therapy, 38 months for nonmetastatic unresectable disease, and 17 months for metastatic disease with chemotherapy. Fluoropyrimidine-based regimens showed better disease control.",Case series median survival: surgery + adjuvant therapy: 40.2 months; metastatic disease: 13.8 months. Case series 1-year survival: 67%; 5-year survival: 5%.,,"Rarity of malignancy limited prospective studies and large case-control studies. Retrospective nature of the review limits interpretation. Tumor time to progression was based on imaging schedules, not predefined time points, potentially introducing institutional bias. Low number of patients in the non-chemotherapy group for analysis.",0,0,0,1,0,0,1,1,12.0,1,0,0,1,1,0,1,0,"In the case series, median survival was 40.2 ± 31.9 months for patients undergoing surgery with adjuvant therapy and 13.8 ± 11.3 months for those with metastatic disease. Surgery (P < .001) and radiotherapy (P = .008) were significantly associated with improved survival, while chemotherapy was not (P = .09). Patients receiving resection followed by adjuvant radiotherapy had the longest survival. The systematic review found median survival rates of 47 months for resection with adjuvant therapy, 38 months for nonmetastatic unresectable disease, and 17 months for metastatic disease with chemotherapy. Fluoropyrimidine-based regimens showed better disease control.  Rarity of malignancy limited prospective studies and large case-control studies. Retrospective nature of the review limits interpretation. Tumor time to progression was based on imaging schedules, not predefined time points, potentially introducing institutional bias. Low number of patients in the non-chemotherapy group for analysis.",,8.0,0.008,,,,,9.0
PATINA_Pfizer.pdf,"Pfizer’s IBRANCE® in Combination with Standard-of-Care Therapies Extends Median Progression-Free Survival by Over 15 Months in Phase 3 PATINA Study in Patients with HR+, HER2+ Metastatic Breast Cancer",2024,High,"Hormone receptor-positive (HR+), human epidermal growth factor receptor 2-positive (HER2+) metastatic breast cancer (MBC)",Metastatic breast cancer,,,,Following induction chemotherapy treatment,RCT,518,IBRANCE® (palbociclib) in combination with anti-HER2 therapy (trastuzumab or trastuzumab plus pertuzumab) and endocrine therapy as first-line maintenance therapy,Anti-HER2 therapy and endocrine therapy alone as first-line maintenance therapy,Progression-free survival (PFS) as assessed by the investigator,['Overall survival'],,"Median PFS was 44.3 months (95% CI: 32.4-60.9) for patients treated with IBRANCE in combination with anti-HER2 therapy and endocrine therapy, and 29.1 months (95% CI: 23.3-38.6) for patients treated with anti-HER2 therapy and endocrine therapy alone. This represents an extension in median PFS of over 15 months.","HR: 0.74 (95% CI, 0.58-0.94); unstratified 1-sided p= 0.0074","The safety and tolerability of IBRANCE in the PATINA study was consistent with its known safety profile in HR+, HER2- MBC, and no new safety signals were identified. The most common adverse events observed with IBRANCE were hematologic toxicities, such as neutropenia and leukopenia. Non-hematologic adverse events included fatigue, stomatitis and diarrhea, which were generally mild to moderate in severity.",,2,1,0,0,1,0,0,1,,1,0,1,0,9,1,1,1,"Median PFS was 44.3 months (95% CI: 32.4-60.9) for patients treated with IBRANCE in combination with anti-HER2 therapy and endocrine therapy, and 29.1 months (95% CI: 23.3-38.6) for patients treated with anti-HER2 therapy and endocrine therapy alone. This represents an extension in median PFS of over 15 months. The safety and tolerability of IBRANCE in the PATINA study was consistent with its known safety profile in HR+, HER2- MBC, and no new safety signals were identified. The most common adverse events observed with IBRANCE were hematologic toxicities, such as neutropenia and leukopenia. Non-hematologic adverse events included fatigue, stomatitis and diarrhea, which were generally mild to moderate in severity. ",,,,44.3,,,,3.0
jgo-15-06-2728.pdf,Cancer metastasis to the upper gastrointestinal tract—a case series,2024,Low,"Renal clear cell carcinoma, non-small cell lung cancer, prostate cancer, melanoma",Metastatic (to the upper gastrointestinal tract and other distant sites),48-76 years,All male,"Atrial fibrillation with ischemic stroke (on warfarin), pulmonary embolism (on anticoagulants), end-stage renal failure, hospital-acquired pneumonia, acute cholangitis","Nephrectomy, partial nephrectomy, melanoma excision, chemotherapy, radiotherapy, tyrosine kinase inhibitors (sunitinib, cabozantinib, lenvatinib, everolimus), immunotherapy (pembrolizumab, nivolumab/ipilimumab)",Case Series,7,"Gastroscopy, biopsy, surgical resection (distal gastrectomy, endoscopic mucosal resection, bowel resection and anastomosis, surgery for omental metastasis), endoscopic adrenaline injection and clipping, argon plasma coagulation, targeted therapies (nivolumab/ipilimumab), angiographic embolization, laparotomy and oversewing of duodenal ulcer",,"To present cases highlighting clinical manifestations, complications, and management of upper GI tract metastasis from non-GI cancers",,"Variable, with individual patient follow-up ranging from a few months to 10 years, and the retrospective series spanning 2016-2024. One patient was followed for 12 months post-intervention.","Seven cases of non-gastrointestinal (non-GI) cancers metastasizing to the upper GI tract are discussed. Patients presented with diverse patterns of metastasis and complications, including upper GI bleeding, melaena, bowel perforation, abdominal pain, and weight loss. Management involved various interventions from endoscopy to surgery, with outcomes ranging from disease control to progression, palliative care, and fatality. The series highlights the importance of early recognition, interdisciplinary management, and personalized strategies due to the rare and complex nature of these metastases.",7 cases,"Significant complications observed included severe upper GI bleeding (fatal in some cases), melaena, bowel perforation, abdominal pain, weight loss, hospital-acquired pneumonia, end-stage renal failure, septic shock secondary to acute cholangitis, and ischemic bowel. Fatal outcomes were noted in several cases due to disease progression or complications.","The primary limitation is the small sample size, which is inherent to a case series, limiting generalizability.",0,0,0,1,0,0,1,0,120.0,0,0,1,1,9,0,0,0,"Seven cases of non-gastrointestinal (non-GI) cancers metastasizing to the upper GI tract are discussed. Patients presented with diverse patterns of metastasis and complications, including upper GI bleeding, melaena, bowel perforation, abdominal pain, and weight loss. Management involved various interventions from endoscopy to surgery, with outcomes ranging from disease control to progression, palliative care, and fatality. The series highlights the importance of early recognition, interdisciplinary management, and personalized strategies due to the rare and complex nature of these metastases. Significant complications observed included severe upper GI bleeding (fatal in some cases), melaena, bowel perforation, abdominal pain, weight loss, hospital-acquired pneumonia, end-stage renal failure, septic shock secondary to acute cholangitis, and ischemic bowel. Fatal outcomes were noted in several cases due to disease progression or complications. The primary limitation is the small sample size, which is inherent to a case series, limiting generalizability.",,,,,,,,
s13014-024-02559-7.pdf,Stereotactic body radiotherapy as metastasis-directed therapy in oligometastatic prostate cancer: a systematic review and meta-analysis of randomized controlled trials,2024,Medium,Oligometastatic prostate cancer (OMPC),"Oligometastatic (1-5 progressing metastases), extracranial OMPC, including metachronous oligorecurrence or oligoprogression",,,,"Some trials included patients with castration-resistant disease; some trials investigated or allowed systemic therapy (e.g., ADT, abiraterone acetate, prednisone).",Meta-Analysis,559,Stereotactic body radiotherapy (SBRT) as metastasis-directed therapy (MDT),"No MDT, standard of care (SOC), placebo, no treatment, or radiotherapy with lower intensity than the intervention group",Overall survival and incidence proportion of grade ≥ 3 toxicity,"['Progression-free survival (PFS)', 'Local control', 'Incidence proportion of grade 5 toxicity', 'Health-related quality of life (HRQoL)', 'Systemic therapy-free survival', 'Local PFS', 'Distant PFS']",Up to 5 years or longest follow-up reported by individual studies (without restrictions on follow-up time for eligible studies),"A meta-analysis for overall survival was not possible because only one out of three trials reported events in both arms, and overall survival comparisons were immature. The pooled results for incidence proportion of grade ≥ 3 toxicity from two trials showed no difference between groups.","Grade ≥ 3 toxicity: pooled risk ratio 0.78 (95% CI 0.37–1.65, p = 0.52). Overall survival: meta-analysis not possible.",Phase II trials have shown promising improvements in PFS for several OMPC states without excess toxicity. No significant difference in grade ≥ 3 toxicity was found between SBRT and control groups. Statistical heterogeneity was not detected for toxicity outcomes.,"Risk of bias was of some concerns or high in included studies, and the quality of evidence was low or moderate. Overall survival comparisons are immature. Outcome definitions were heterogeneous except for overall survival and toxicity. Limitations included small sample sizes in individual phase II trials, lack of blinding for outcome assessors, and potential for variable adherence to assigned interventions.",1,0,1,0,1,0,0,1,60.0,1,0,1,1,9,1,1,0,"A meta-analysis for overall survival was not possible because only one out of three trials reported events in both arms, and overall survival comparisons were immature. The pooled results for incidence proportion of grade ≥ 3 toxicity from two trials showed no difference between groups. Phase II trials have shown promising improvements in PFS for several OMPC states without excess toxicity. No significant difference in grade ≥ 3 toxicity was found between SBRT and control groups. Statistical heterogeneity was not detected for toxicity outcomes. Risk of bias was of some concerns or high in included studies, and the quality of evidence was low or moderate. Overall survival comparisons are immature. Outcome definitions were heterogeneous except for overall survival and toxicity. Limitations included small sample sizes in individual phase II trials, lack of blinding for outcome assessors, and potential for variable adherence to assigned interventions.",,,,,,,,
PALOMA-2_FDA.pdf,STATISTICAL REVIEW AND EVALUATION CLINICAL STUDIES,2015,High,"ER+, HER2 -first-line metastatic breast cancer",metastatic breast cancer,,,,no prior systemic therapy for their advanced disease,RCT,165,Palbociclib in combination with letrozole (P+L),letrozole alone (L),investigator-assessed progression free survival (PFS),"['overall survival (OS)', 'overall response rate (ORR)']","Until disease progression or toxicity for treatment, OS until study end",The primary analysis in PALOMA-1 was investigator assessed progression free survival (PFS). The results demonstrated a hazard ratio of 0.488 with a 20.2 month median PFS time in the Palbociclib + letrozole arm and 10.2 month median PFS time in the letrozole arm. A blinded independent committee review (BICR) of PFS found a hazard ratio of 0.621 with a 25.7 month median PFS time in the Palbociclib + letrozole arm and 14.8 month median PFS time in the letrozole arm.,"Investigator Assessed PFS: HR=0.488, median PFS Palbociclib+letrozole=20.2 months, median PFS letrozole=10.2 months",,"PALOMA-1 was not designed to be a registrational trial, and had several flaws of execution. The study also had several data-driven amendments to the statistical analysis plan, including splitting the study into two parts and then recombining them. The BICR PFS analysis demonstrated some evidence of investigator bias towards the treatment arm. Due to these issues, the magnitude of benefit is unclear and uncertain.",2,1,0,0,0,1,0,1,,1,0,0,1,0,1,1,0,"The primary analysis in PALOMA-1 was investigator assessed progression free survival (PFS). The results demonstrated a hazard ratio of 0.488 with a 20.2 month median PFS time in the Palbociclib + letrozole arm and 10.2 month median PFS time in the letrozole arm. A blinded independent committee review (BICR) of PFS found a hazard ratio of 0.621 with a 25.7 month median PFS time in the Palbociclib + letrozole arm and 14.8 month median PFS time in the letrozole arm.  PALOMA-1 was not designed to be a registrational trial, and had several flaws of execution. The study also had several data-driven amendments to the statistical analysis plan, including splitting the study into two parts and then recombining them. The BICR PFS analysis demonstrated some evidence of investigator bias towards the treatment arm. Due to these issues, the magnitude of benefit is unclear and uncertain.",,,,10.2,,,,2.0
